"Part";"Value";"Device";"Package";"Description";"DATASHEET_LINK";"LED_COLOR";"MANUFACTURER";"MANUFACTURER_PN";"PACKAGE";"SUPPLIER";"SUPPLIER_PN";
"JP3";"SPR_IN3";"PINHD-1X1";"1X01";"PIN HEADER";"http://www.joeknowselectronics.com/index.php/products/headers.html";"";"Joe Knows Electronics";"n/a";"1X1 Header Pin";"Joe Knows Electronics";"n/a";
"Q1";"PN2222A";"PN2222A";"TO92-EBC";"NPN TRANSISTOR";"https://www.fairchildsemi.com/datasheets/PN/PN2222A.pdf";"";"Fairchild";"PN2222ABU";"TO92";"Digi-Key";"PN2222AFS-ND";
"Q2";"FJPF13009";"FJPF13009";"TO220";"High current NPN transistor";"https://www.fairchildsemi.com/datasheets/FJ/FJPF13009.pdf";"";"Fairchild";"FJPF13009H1TU";"TO220";"Digi-Key";"FJPF13009H1TU-ND";
"Q3";"PN2222A";"PN2222A";"TO92-EBC";"NPN TRANSISTOR";"https://www.fairchildsemi.com/datasheets/PN/PN2222A.pdf";"";"Fairchild";"PN2222ABU";"TO92";"Digi-Key";"PN2222AFS-ND";
"Q4";"PN2222A";"PN2222A";"TO92-EBC";"NPN TRANSISTOR";"https://www.fairchildsemi.com/datasheets/PN/PN2222A.pdf";"";"Fairchild";"PN2222ABU";"TO92";"Digi-Key";"PN2222AFS-ND";
"Q5";"PN2222A";"PN2222A";"TO92-EBC";"NPN TRANSISTOR";"https://www.fairchildsemi.com/datasheets/PN/PN2222A.pdf";"";"Fairchild";"PN2222ABU";"TO92";"Digi-Key";"PN2222AFS-ND";
"Q6";"PN2222A";"PN2222A";"TO92-EBC";"NPN TRANSISTOR";"https://www.fairchildsemi.com/datasheets/PN/PN2222A.pdf";"";"Fairchild";"PN2222ABU";"TO92";"Digi-Key";"PN2222AFS-ND";
"Q7";"ISL9V5036P3_F085";"ISL9V5036P3_F085";"TO220AB";"Ignition coil IGBT";"https://www.fairchildsemi.com/datasheets/IS/ISL9V5036P_F085.pdf";"";"Fairchild";"ISL9V5036P3_F085";"TO220AB";"Digi-Key";"ISL9V5036P3_F085-ND";
"R1";"82Ω";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R2";"180kΩ";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R3";"120kΩ";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R4";"68kΩ";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R5";"3.9kΩ";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R6";"39kΩ";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R7";"330kΩ";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R8";"330kΩ";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R9";"120kΩ";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R10";"56kΩ";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R11";"180kΩ";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R12";"120kΩ";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R13";"68kΩ";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R14";"3.9kΩ";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R15";"39kΩ";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R16";"330kΩ";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
